Player	Yr		Team 	G 	AB 	R 	H 	2B 	3B 	HR 	GS 	RBI 	BB 	IBB 	SO 	SH 	SF 	HBP 	GIDP AVG 	OBP  	SLG
RipkenJr	1987 	Orioles 	162 	624 	97 	157 	28 	3 	27 	0 	98 	81 	0 	77 	0 	11 	1 	19 	.252 	.333 	.436
RipkenJr	1988 	Orioles 	161 	575 	87 	152 	25 	1 	23 	0 	81 	102 	7 	69 	0 	10 	2 	10 	.264 	.372 	.431
RipkenJr	1989 	Orioles 	162 	646 	80 	166 	30 	0 	21 	0 	93 	57 	5 	72 	0 	6 	3 	22 	.257 	.317 	.401
RipkenJr	1990 	Orioles 	161 	600 	78 	150 	28 	4 	21 	0 	84 	82 	18 	66 	1 	7 	5 	12 	.250 	.341 	.415
RipkenJr	1991 	Orioles 	162 	650 	99 	210 	46 	5 	34 	0 	114 	53 	15 	46 	0 	9 	5 	19 	.323 	.374 	.566
RipkenJr	1992 	Orioles 	162 	637 	73 	160 	29 	1 	14 	0 	72 	64 	14 	50 	0 	7 	7 	13 	.251 	.323 	.366
RipkenJr	1993 	Orioles 	162 	641 	87 	165 	26 	3 	24 	0 	90 	65 	19 	58 	0 	6 	6 	17 	.257 	.329 	.420
RipkenJr	1994 	Orioles 	112 	444 	71 	140 	19 	3 	13 	1 	75 	32 	3 	41 	0 	4 	4 	17 	.315 	.364 	.459
RipkenJr	1995 	Orioles 	144 	550 	71 	144 	33 	2 	17 	1 	88 	52 	6 	59 	1 	8 	2 	15 	.262 	.324 	.422
RipkenJr	1996 	Orioles 	163 	640 	94 	178 	40 	1 	26 	1 	102 	59 	3 	78 	0 	4 	4 	28 	.278 	.341 	.466
RipkenJr	1997 	Orioles 	162 	615 	79 	166 	30 	0 	17 	2 	84 	56 	3 	73 	0 	10 	5 	19 	.270 	.331 	.402
RipkenJr	1998 	Orioles 	161 	601 	65 	163 	27 	1 	14 	1 	61 	51 	0 	68 	1 	2 	4 	9 	.271 	.331 	.389
RipkenJr	1999 	Orioles 	86 	332 	51 	113 	27 	0 	18 	0 	57 	13 	3 	31 	3 	3 	3 	14 	.340 	.368 	.584
RipkenJr	2000 	Orioles 	83 	309 	43 	79 	16 	0 	15 	0 	56 	23 	0 	37 	0 	4 	3 	10 	.256 	.310 	.453
RipkenJr	2001 	Orioles 	128 	477 	43 	114 	16 	0 	14 	0 	68 	26 	1 	63 	2 	9 	2 	15 	.239 	.276 	.361
Thome	1991 	Indians 	27 	98 	7 	25 	4 	2 	1 	0 	9 	5 	1 	16 	0 	0 	1 	4 	.255 	.298 	.367
Thome	1992 	Indians 	40 	117 	8 	24 	3 	1 	2 	0 	12 	10 	2 	34 	0 	2 	2 	3 	.205 	.275 	.299
Thome	1993 	Indians 	47 	154 	28 	41 	11 	0 	7 	0 	22 	29 	1 	36 	0 	5 	4 	3 	.266 	.385 	.474
Thome	1994 	Indians 	98 	321 	58 	86 	20 	1 	20 	0 	52 	46 	5 	84 	1 	1 	0 	11 	.268 	.359 	.523
Thome	1995 	Indians 	137 	452 	92 	142 	29 	3 	25 	0 	73 	97 	3 	113 	0 	3 	5 	8 	.314 	.438 	.558
Thome	1996 	Indians 	151 	505 	122 	157 	28 	5 	38 	1 	116 	123 	8 	141 	0 	2 	6 	13 	.311 	.450 	.612
Thome	1997 	Indians 	147 	496 	104 	142 	25 	0 	40 	1 	102 	120 	9 	146 	0 	8 	3 	9 	.286 	.423 	.579
